Timestamp,ID Monitoring,Nama Kegiatan,Tanggal Kegiatan,Kategori,Program,Program Studi,Bulan Laporan,Tahun Laporan,Periode,Progres,Penanggung Jawab,Tempat,Jumlah Peserta,Prioritas,Target,Status Target,Tindak Lanjut,Hasil Output,Catatan,Evaluasi Feedback,Link Dokumentasi
24/06/2026 11:32:52,FAST-20260624-004,Sosialisasi Kuliah Kepada Siswa Kelas 12 di SMK Nusaputera 02 Semarang,,,SOSIALISASI PMB SMK / SMA,Program Studi Digabung,April,2026,Bulanan,Selesai,Admin FAST,,,Tinggi,Mendapatkan Mahasiswa dari Siswa Kelas 12 SMK Nusaputera 02 Semarang,Tercapai,Blasting Penawaran Kuliah USTEDI,,,,
24/06/2026 11:34:53,FAST-20260624-005,Sosialisasi Kuliah / PMB kepada siswa kelas 12 di SMK PGRI 01 Semarang,,,SOSIALISASI PMB SMK / SMA,Program Studi Digabung,April,2026,Bulanan,Selesai,Admin FAST,,,Tinggi,Mendapatkan mahasiswa dari siswa kelas 12 SMK PGRI 01 Semarang,Tercapai,Blasting dan Pengenalan USTEDI Melalui whatsapp,,,,
24/06/2026 11:38:19,FAST-20260624-006,Sosialisasi dan menjalin kerjasama FASTER ACADEMY Dengan SMK BINUS UNGARAN,,,SOSIALISASI DAN KERJASAMA FASTER ACADEMY Di SMK BINUS UNGARAN,Program Studi Digabung,Mei,2026,Bulanan,Selesai,Admin FAST,,,Tinggi,Mendapatkan kerjasama dengan pihak SMK BINUS UNGARAN,Tercapai,Follow up dan monitoring kerjasama dengan pihak SMK,https://www.instagram.com/p/DYv9j6SBN7K/,,,
24/06/2026 11:45:58,FAST-20260624-007,Sosialisasi dan Kerjasama FASTER ACADEMY Dengan SMK N 9 Semarang dan MGMP KIK,,,Sosialisasi dan Kerjasama FASTER ACADEMY Dengan SMK N 9 Semarang dan MGMP KIK,Program Studi Digabung,April,2026,Bulanan,Selesai,Admin FAST,,,Tinggi,Mendapatkan kerjasama dengan SMK N 9 Semarang dan MGMP KIK Bu Nanik Selaku Ketua,Tercapai,Follow Up kepada Bu Nanik selaku Ketua MGMP KIK,https://www.instagram.com/p/DXwidichnlh/,,,
23/07/2026 13:25:29,FAST-20260723-002,Penerbitan Jurnal IKM DIMA,,,Pengabdian Masyarakat,Program Studi Digabung,Juli,2026,Bulanan,Selesai,Admin FAST,,,Tinggi,Terbit jurnal DIMA (pengabdian masyarakat) Universitas LIA,Tercapai,Tercapai,https://ojs.universitaslia.ac.id/index.php/dima/article/view/240,,,
23/07/2026 13:28:25,FAST-20260723-003,Penelitian Mapping Regional Clusters Based on Total Rescued Food in Indonesia Using K-Means Clustering,,,Penelitian,Program Studi Digabung,Juli,2026,Bulanan,Selesai,Admin FAST,,,Tinggi,Capaian Publikasi Jurnal Di Jurnal JOISTICS (Journal of Information Systems and Data Analytics),Tercapai,Penerbitan Jurnal Bulan Juni,https://journal.uyr.ac.id/index.php/JOISTICS/article/view/933,,,
23/07/2026 13:31:44,FAST-20260723-004,Penerapan Launching Pilot Project 3 Kelurahan Di Surakarta,,,Pengabdian Tridharma,Program Studi Digabung,Juli,2026,Bulanan,Dalam Proses,Admin FAST,,,Tinggi,Dalam Proses pilot project yang ada 3 kelurahan di Surakarta,Dalam Proses,Dalam Proses pilot project yang ada 3 kelurahan di Surakarta,,,,
23/07/2026 19:53:31,FAST-20260723-005,Sosialisasi Studi Lanjut Kuliah USTEDI DI SMK Negeri 11 Semarang,,,Penerimaan Mahasiswa Baru,Program Studi Digabung,Juli,2026,Bulanan,Selesai,Admin FAST,,,Tinggi,Sosialisasi dan kerjasama faster academy di SMK Negeri 11 Semarang,Tercapai,Menghubungi kembali terkait kerjasama yang sudah diberikan,,,,
23/07/2026 19:54:51,FAST-20260723-006,Sosialisasi Studi Lanjut Kuliah USTEDI DI SMA Hidayatullah Semarang,,,Penerimaan Mahasiswa Baru,Program Studi Digabung,Juli,2026,Bulanan,Selesai,Admin FAST,,,Tinggi,Sosialisasi dan kerjasama faster academy di SMA Hidayatullah Semarang,Tercapai,Menghubungi kembali terkait kerjasama yang sudah diberikan,,,,
23/07/2026 19:56:11,FAST-20260723-007,Sosialisasi Studi Lanjut Kuliah USTEDI DI SMA Negeri 12 Semarang,,,Penerimaan Mahasiswa Baru,Program Studi Digabung,Juli,2026,Bulanan,Selesai,Admin FAST,,,Tinggi,Sosialisasi dan kerjasama faster academy di SMA Negeri 12 Semarang,Tercapai,Menghubungi kembali terkait kerjasama yang sudah diberikan,,,,
23/07/2026 20:01:00,FAST-20260723-008,Sosialisasi Studi Lanjut Kuliah USTEDI DI SMK Negeri H Moenadi Ungaran,,,Penerimaan Mahasiswa Baru,Program Studi Digabung,Juli,2026,Bulanan,Selesai,Admin FAST,,,Tinggi,Sosialisasi dan kerjasama faster academy di SMK Negeri H Moenadi Ungaran,Tercapai,Menghubungi kembali terkait kerjasama yang sudah diberikan,,,,
23/07/2026 20:01:31,FAST-20260723-009,Sosialisasi Studi Lanjut Kuliah USTEDI DI SMK Widya Praja Ungaran,,,Penerimaan Mahasiswa Baru,Program Studi Digabung,Juli,2026,Bulanan,Selesai,Admin FAST,,,Tinggi,Sosialisasi dan kerjasama faster academy di SMK Widya Praja Ungaran,Tercapai,Menghubungi kembali terkait kerjasama yang sudah diberikan,,,,
23/07/2026 20:02:16,FAST-20260723-010,Sosialisasi Studi Lanjut Kuliah USTEDI DI SMK Kanisius Ungaran,,,Penerimaan Mahasiswa Baru,Program Studi Digabung,Juli,2026,Bulanan,Selesai,Admin FAST,,,Tinggi,Sosialisasi dan kerjasama faster academy di SMK Kanisius Ungaran,Tercapai,"Menghubungi kembali terkait kerjasama yang sudah diberikan, SMK Kanisius Menerima dengan baik soal Faster Academy",,,,
